Diamond,Price,Carat,Color,Clarity,Cut
1,6003,1.82,H,I1,Fair
2,3987,0.91,G,SI2,Ideal
3,2456,0.74,H,VS2,Good
4,15718,1.12,E,VVS1,Ideal
5,2526,0.7,D,SI1,Good
6,4051,0.9,G,SI1,Ideal
7,8458,1,G,VVS2,Ideal
8,446,0.34,E,SI2,Good
9,5222,1,F,SI1,Premium
10,4325,0.9,G,SI1,Ideal
11,11760,1.38,F,VS1,Very Good
12,1776,0.58,E,VS2,Ideal
13,803,0.34,H,VVS1,Good
14,506,0.35,H,SI1,Very Good
15,2065,0.7,I,VS2,Fair
16,1819,0.57,D,VS2,Very Good
17,8983,1.03,E,VS1,Premium
18,6577,1.21,I,VS1,Ideal
19,4730,1.1,D,SI2,Fair
20,1264,1.03,E,I1,Fair
21,1273,0.53,H,SI1,Ideal
22,4841,0.9,H,VS1,Ideal
23,505,0.31,H,VS2,Very Good
24,2052,0.5,G,VVS1,Ideal
25,951,0.4,H,VVS2,Ideal
26,5052,0.92,D,SI2,Ideal
27,2600,0.7,F,SI1,Ideal
28,740,0.3,D,VS2,Premium
29,542,0.32,H,VS1,Premium
30,11185,1.29,F,VS1,Premium
31,1005,0.43,I,VVS2,Ideal
32,866,0.32,F,VS2,Premium
33,978,0.31,E,VS1,Premium
34,2377,1.2,I,I1,Fair
35,2330,0.71,I,SI1,Ideal
36,807,0.32,F,VVS2,Ideal
37,942,0.3,D,VS2,Premium
38,1489,0.58,D,SI2,Ideal
39,1653,0.51,F,VS2,Premium
40,8492,1.02,D,VS1,Premium
41,458,0.27,G,VS2,Very Good
42,1699,0.53,F,VS2,Very Good
43,11862,1.5,E,SI1,Fair
44,1144,0.3,D,VVS2,Ideal
45,989,0.31,D,VS2,Ideal
46,5338,1,H,VS2,Very Good
47,11706,1.32,F,VS1,Premium
48,449,0.34,F,SI2,Very Good
49,1182,0.37,E,VVS2,Ideal
50,12224,2.1,J,SI2,Very Good
51,3757,0.91,E,SI2,Premium
52,1909,0.57,E,VS2,Ideal
53,734,0.35,F,VS2,Ideal
54,5912,1,G,VS2,Very Good
55,699,0.32,H,VVS1,Very Good
56,1780,0.5,F,VS1,Ideal
57,874,0.35,G,VS1,Premium
58,18100,2.16,E,SI2,Ideal
59,19391,1.51,E,VS1,Ideal
60,950,0.31,F,VVS1,Ideal
61,2740,0.71,G,SI1,Ideal
62,3438,0.91,J,VS2,Very Good
63,872,0.3,F,VS1,Ideal
64,3587,1,J,VS2,Good
65,4168,1,F,SI2,Premium
66,488,0.3,I,VS1,Premium
67,530,0.32,I,VS1,Premium
68,1770,0.7,D,SI2,Fair
69,4527,0.9,D,SI1,Very Good
70,579,0.3,I,VVS2,Ideal
71,2785,0.78,F,SI1,Premium
72,632,0.3,G,VS1,Good
73,4726,1,D,SI2,Very Good
74,13188,2.01,J,SI2,Premium
75,2398,0.8,J,VS1,Very Good
76,1417,0.54,E,SI2,Very Good
77,824,0.3,E,VVS2,Premium
78,726,0.41,E,SI1,Very Good
79,19140,1.7,F,VS1,Premium
80,955,0.4,E,VS2,Ideal
81,3617,0.89,H,VS1,Premium
82,9930,1.35,G,VS2,Premium
83,3254,0.73,F,SI1,Ideal
84,1031,0.51,G,SI2,Good
85,7947,1.24,E,SI1,Ideal
86,4323,1,E,SI2,Very Good
87,769,0.38,I,SI1,Premium
88,766,0.4,E,SI1,Very Good
89,7658,1.25,H,VS2,Premium
90,3600,1.01,H,SI2,Very Good
91,1960,0.52,E,VS2,Ideal
92,1038,0.52,H,SI2,Ideal
93,3205,0.91,G,SI2,Very Good
94,624,0.3,H,VVS2,Good
95,2495,0.63,G,VS2,Premium
96,2050,0.56,D,VS2,Ideal
97,655,0.26,E,VVS2,Ideal
98,3087,0.7,D,VS2,Good
99,975,0.3,G,VVS1,Very Good
100,617,0.4,J,VS2,Good
101,2827,0.71,E,SI1,Ideal
102,639,0.32,I,VVS1,Ideal
103,8239,1.63,H,SI2,Ideal
104,1357,0.52,F,SI2,Good
105,1663,0.54,D,SI1,Very Good
106,5900,1.04,F,SI1,Premium
107,1782,0.55,F,VS2,Ideal
108,3781,0.9,F,SI1,Good
109,1041,0.42,D,SI1,Premium
110,5614,1.19,H,SI1,Very Good
111,6754,1.32,H,VS2,Premium
112,3960,0.91,D,SI2,Premium
113,742,0.34,G,VS2,Premium
114,4495,1.01,H,VVS2,Fair
115,1189,0.4,F,VVS2,Ideal
116,3591,0.9,H,SI1,Very Good
117,3123,0.9,F,SI2,Good
118,1046,0.33,G,VVS2,Ideal
119,1181,0.5,G,SI1,Premium
120,563,0.31,G,VS2,Premium
121,1641,0.52,G,VS2,Premium
122,945,0.3,F,VVS1,Ideal
123,2123,0.76,I,SI1,Very Good
124,11603,1.41,G,VS1,Ideal
125,5267,1,H,VS2,Very Good
126,8300,1.23,H,VS1,Ideal
127,2079,0.51,H,VVS1,Ideal
128,9431,1.5,H,SI1,Good
129,3874,0.73,F,VVS2,Very Good
130,2701,1.02,J,SI2,Ideal
131,1095,0.4,E,VVS2,Premium
132,2470,0.72,E,SI2,Ideal
133,2760,0.77,J,VVS1,Very Good
134,1302,0.47,E,VS2,Ideal
135,3974,0.73,E,VVS2,Fair
136,4202,1.01,F,SI2,Premium
137,910,0.28,E,VVS1,Premium
138,6922,1.21,H,VS2,Premium
139,4101,1,H,SI2,Good
140,619,0.34,H,VS1,Very Good
141,7162,1.24,H,VS2,Premium
142,626,0.34,D,SI1,Good
143,1627,0.51,D,SI1,Ideal
144,12116,1.05,E,VVS1,Premium
145,1013,0.31,G,VVS2,Ideal
146,776,0.42,E,SI1,Good
147,878,0.31,F,VVS1,Premium
148,7496,1.5,E,SI2,Fair
149,6006,1.2,I,VS1,Ideal
150,1276,0.51,F,SI1,Premium
151,1104,0.33,F,VVS1,Ideal
152,488,0.3,G,SI1,Ideal
153,3444,0.71,G,VS2,Ideal
154,4505,1.04,H,SI2,Ideal
155,2389,0.61,E,VS1,Ideal
156,835,0.38,D,VS2,Ideal
157,10190,2.01,H,SI2,Fair
158,1697,0.5,E,VS2,Very Good
159,10528,1.5,D,SI2,Premium
160,634,0.3,F,VS2,Ideal
161,4804,1.09,I,SI1,Very Good
162,10824,1.34,F,VS2,Premium
163,1150,0.54,E,SI2,Ideal
164,10317,1.54,J,VVS1,Premium
165,3379,0.91,G,SI2,Premium
166,511,0.31,I,VS1,Very Good
167,2385,0.7,H,SI1,Premium
168,2513,0.61,E,VS2,Ideal
169,5500,1.06,E,SI1,Ideal
170,16535,1.57,G,VVS2,Ideal
171,3842,1,H,SI1,Fair
172,1308,0.6,F,SI2,Good
173,2233,0.74,H,SI2,Very Good
174,8754,1.01,G,VVS1,Very Good
175,1269,0.4,E,VVS2,Ideal
176,1889,0.58,E,VS2,Ideal
177,3363,0.84,D,SI2,Ideal
178,5462,1.01,H,SI1,Ideal
179,586,0.27,G,VVS1,Very Good
180,4302,1,F,SI1,Good
181,1675,0.72,H,SI2,Good
182,604,0.35,F,SI1,Ideal
183,12592,1.75,I,VS2,Ideal
184,5677,1.06,E,SI1,Premium
185,7107,1.14,D,SI1,Very Good
186,3864,1.01,G,SI2,Good
187,2661,0.71,G,VS2,Ideal
188,1362,0.45,D,VS2,Very Good
189,881,0.41,G,VS1,Good
190,3553,0.77,F,VVS2,Very Good
191,8812,1.56,H,SI2,Ideal
192,4224,1,E,SI1,Fair
193,1814,0.7,F,SI2,Premium
194,3800,1.23,G,SI2,Ideal
195,1758,0.52,G,VS1,Ideal
196,16674,2.01,D,SI2,Good
197,709,0.3,H,VS1,Premium
198,7966,1.24,G,VS2,Very Good
199,6248,1.02,G,VS2,Premium
200,9197,1.71,H,SI1,Premium
201,1680,0.5,E,VS2,Ideal
202,7147,1.2,E,SI1,Very Good
203,18352,2.12,F,SI2,Ideal
204,4860,1.2,G,SI2,Good
205,5282,1.01,D,VS1,Good
206,1084,0.34,D,VS2,Ideal
207,2495,0.65,D,VS1,Premium
208,1819,0.71,F,SI2,Good
209,1697,0.5,D,VS2,Very Good
210,6017,1.5,G,SI2,Good
211,9350,1.15,G,VVS2,Ideal
212,4615,0.9,H,VS1,Ideal
213,948,0.3,F,VVS1,Ideal
214,615,0.27,F,VVS1,Very Good
215,19384,2.55,I,VS1,Premium
216,1638,0.55,H,SI1,Ideal
217,3103,0.73,G,VS1,Very Good
218,442,0.32,E,SI2,Ideal
219,2702,0.71,D,SI1,Very Good
220,10294,1.5,I,VS2,Very Good
221,2511,0.71,I,VVS2,Good
222,789,0.32,D,VS2,Premium
223,677,0.39,H,SI1,Ideal
224,1134,0.4,E,VS2,Ideal
225,2048,0.71,J,VS2,Premium
226,588,0.38,D,SI1,Very Good
227,6787,1.37,G,SI2,Very Good
228,2499,0.54,G,VVS1,Ideal
229,1897,0.56,E,VS2,Ideal
230,638,0.3,F,VS1,Ideal
231,5593,1.31,I,SI2,Very Good
232,1153,0.4,E,VVS2,Ideal
233,11582,1.7,I,SI1,Ideal
234,726,0.33,H,VVS2,Ideal
235,4491,1.01,E,SI1,Premium
236,769,0.37,G,SI1,Ideal
237,700,0.42,E,SI2,Ideal
238,4287,0.9,D,VS2,Ideal
239,1953,0.55,G,VS1,Ideal
240,12265,1.5,E,SI1,Ideal
241,1789,0.56,H,VS1,Ideal
242,7567,1.5,E,SI2,Fair
243,5494,1.34,J,SI2,Ideal
244,15512,1.51,E,VS2,Premium
245,967,0.31,G,VVS1,Ideal
246,7504,1.4,F,SI2,Premium
247,779,0.33,G,VS2,Ideal
248,1388,0.43,G,VVS1,Premium
249,498,0.24,E,VVS2,Very Good
250,711,0.34,H,VS2,Premium
251,3604,0.71,G,VVS2,Ideal
252,862,0.32,E,VS1,Ideal
253,2636,0.93,E,I1,Premium
254,493,0.27,E,VS2,Very Good
255,14112,2.01,I,SI1,Good
256,1118,0.41,F,VS2,Ideal
257,1605,0.51,G,VS2,Ideal
258,725,0.42,D,SI1,Very Good
259,1359,0.51,F,SI1,Very Good
260,7068,1.27,H,SI1,Ideal
261,5250,1,H,SI1,Very Good
262,1321,0.39,G,VVS1,Ideal
263,16128,2.01,I,VS2,Premium
264,3433,0.7,D,VS1,Ideal
265,4893,1.14,G,SI2,Premium
266,5439,1.06,H,VS1,Premium
267,12411,2,G,SI2,Premium
268,2993,0.86,I,VS1,Very Good
269,780,0.41,F,SI1,Premium
270,3364,0.92,J,VS2,Ideal
271,6932,1.5,E,SI2,Fair
272,13051,2.15,I,SI1,Ideal
273,12809,1.1,D,VVS2,Ideal
274,2266,0.72,I,VS2,Good
275,797,0.35,H,VVS1,Very Good
276,8408,1.05,G,VS1,Ideal
277,1493,0.41,E,VVS1,Ideal
278,942,0.35,G,VS1,Premium
279,498,0.3,G,SI1,Ideal
280,2169,0.78,J,SI1,Very Good
281,5769,1.05,H,VS2,Good
282,7272,1.01,F,VS1,Premium
283,692,0.24,D,VVS2,Premium
284,4798,1.1,H,SI2,Ideal
285,503,0.31,H,SI2,Premium
286,4190,1.01,F,SI1,Fair
287,2686,0.56,G,VVS1,Ideal
288,1252,0.52,G,SI1,Premium
289,1667,0.5,E,VS2,Very Good
290,1725,0.53,E,VS2,Very Good
291,7891,1.8,D,SI2,Ideal
292,481,0.32,I,VS2,Ideal
293,1703,0.55,D,SI1,Premium
294,6943,1.61,G,SI2,Very Good
295,1750,0.5,E,VS1,Premium
296,12239,2,H,SI2,Premium
297,812,0.39,G,VS2,Good
298,770,0.3,I,VVS1,Premium
299,10550,1.2,F,VVS2,Very Good
300,675,0.27,E,VVS2,Ideal
301,1849,0.52,E,VS1,Ideal
302,761,0.31,D,VS1,Very Good
303,620,0.33,H,VS1,Ideal
304,949,0.32,E,VVS2,Ideal
305,865,0.35,D,VS2,Ideal
306,772,0.4,F,SI1,Very Good
307,2279,0.7,H,VS2,Ideal
308,1916,0.55,F,VS1,Ideal
309,7070,1.7,H,I1,Ideal
310,11316,2.01,I,SI2,Premium
311,6789,1.25,H,SI1,Premium
312,1364,0.47,D,VS2,Ideal
313,2682,0.7,G,SI1,Very Good
314,18670,1.74,G,VS1,Premium
315,2143,0.53,G,VVS1,Ideal
316,2561,0.7,D,SI2,Ideal
317,16092,2,H,SI1,Very Good
318,1442,0.5,E,VS2,Good
319,2436,0.73,E,SI2,Ideal
320,1002,0.32,E,VVS1,Ideal
321,5208,1.25,I,SI2,Good
322,656,0.34,D,SI1,Premium
323,5602,1.13,J,VS1,Very Good
324,8917,1.31,H,VS1,Ideal
325,627,0.4,J,VS1,Ideal
326,4704,1.05,H,SI1,Premium
327,576,0.35,I,VS1,Ideal
328,1234,0.58,E,SI2,Very Good
329,1081,0.5,J,VS1,Premium
330,1042,0.35,F,VVS1,Fair
331,4578,1.09,H,SI2,Premium
332,7585,1.12,G,VS2,Ideal
333,12006,1.76,I,VS1,Ideal
334,629,0.34,D,SI1,Ideal
335,5501,1,D,SI1,Ideal
336,904,0.32,F,VS1,Ideal
337,4288,1.1,J,SI2,Ideal
338,793,0.43,F,SI1,Very Good
339,1182,0.5,H,VS1,Fair
340,1117,0.41,E,VS1,Ideal
341,18247,2,G,SI1,Very Good
342,559,0.37,H,SI1,Ideal
343,2423,0.72,J,VVS1,Very Good
344,3686,1,G,SI2,Good
345,1327,0.58,I,VS2,Ideal
346,1958,0.55,E,VS2,Premium
347,759,0.36,G,VS1,Premium
348,3378,0.9,H,SI2,Premium
349,1111,0.33,D,VVS2,Ideal
350,928,0.38,E,VS1,Very Good
351,549,0.3,H,VS1,Ideal
352,2328,0.73,G,SI1,Ideal
353,766,0.43,E,SI2,Very Good
354,5644,1.01,D,SI1,Premium
355,5424,1.06,D,SI2,Ideal
356,663,0.38,D,SI1,Premium
357,2065,0.98,I,I1,Premium
358,6615,1.26,H,SI1,Very Good
359,722,0.38,H,SI1,Ideal
360,5553,1.12,F,SI1,Very Good
361,1069,0.34,D,VS2,Premium
362,6077,0.9,F,VS2,Ideal
363,8908,1.22,G,VS1,Very Good
364,1020,0.4,F,VS1,Premium
365,541,0.24,D,VVS2,Very Good
366,665,0.32,G,VS1,Very Good
367,569,0.31,H,VS1,Ideal
368,366,0.32,J,SI1,Premium
369,2149,0.7,G,SI2,Very Good
370,1055,0.41,E,VS1,Ideal
371,6285,1.23,H,VS2,Very Good
372,564,0.4,H,SI2,Good
373,1193,0.41,E,VS1,Premium
374,946,0.43,F,VS2,Very Good
375,856,0.41,G,VS2,Ideal
376,2833,0.73,D,SI1,Premium
377,6063,1.04,H,VS2,Premium
378,1654,0.51,G,VS1,Ideal
379,2714,0.76,F,SI1,Premium
380,1277,0.56,J,VS2,Very Good
381,11779,2.02,J,SI2,Very Good
382,2131,0.91,I,SI2,Fair
383,1139,0.42,D,VS2,Ideal
384,541,0.31,I,SI1,Good
385,17619,1.93,H,VS1,Premium
386,16817,1.51,E,VS1,Very Good
387,5280,1,F,SI1,Very Good
388,7939,2.2,I,I1,Fair
389,15146,1.52,D,VS2,Very Good
390,3801,0.9,G,SI2,Very Good
391,1194,0.41,E,VS1,Ideal
392,3446,0.91,I,VS2,Good
393,6160,1.23,H,SI1,Ideal
394,5393,1.01,F,SI1,Very Good
395,6102,1.09,J,VVS1,Very Good
396,1813,0.72,F,SI2,Premium
397,683,0.31,D,VS1,Good
398,12012,1.4,G,VVS2,Very Good
399,501,0.3,F,SI1,Very Good
400,845,0.37,E,VS2,Ideal
401,1299,0.5,D,SI1,Very Good
402,6915,1.28,H,SI1,Premium
403,1398,0.53,H,VS2,Ideal
404,3358,0.76,F,VS2,Ideal
405,1131,0.36,D,VS1,Ideal
406,7463,1.5,H,SI1,Very Good
407,656,0.31,F,VS2,Premium
408,2868,0.77,F,SI1,Premium
409,4643,1.09,F,SI2,Very Good
410,700,0.3,H,VS1,Ideal
411,640,0.27,E,VVS1,Ideal
412,5021,0.91,F,VS1,Good
413,2644,0.53,D,VVS2,Very Good
414,4384,0.9,H,VS2,Premium
415,789,0.41,H,VS2,Good
416,1074,0.46,G,VS1,Fair
417,4363,0.9,E,SI1,Good
418,4295,1.24,E,SI2,Premium
419,5506,1.07,H,SI1,Ideal
420,703,0.3,G,VS2,Ideal
421,10127,1.5,G,SI1,Premium
422,4432,1.15,H,SI2,Very Good
423,19452,2.06,I,VS2,Ideal
424,425,0.25,G,SI1,Ideal
425,5578,1.21,I,SI1,Ideal
426,7013,1.56,J,SI2,Very Good
427,1223,0.5,F,SI1,Good
428,6948,1.26,F,SI1,Ideal
429,11087,1.52,G,VS2,Fair
430,880,0.37,E,VVS2,Premium
431,11060,1.55,G,SI1,Very Good
432,8889,1.56,I,SI1,Ideal
433,5520,1.46,G,SI2,Fair
434,14054,1.51,G,VS1,Good
435,6709,1.25,I,VS2,Ideal
436,722,0.31,H,VS1,Premium
437,7036,1.31,I,VS1,Premium
438,832,0.34,D,VS2,Ideal
439,2112,0.54,H,VVS1,Ideal
440,9713,1.7,H,SI2,Fair
441,479,0.34,E,SI2,Ideal
442,936,0.62,G,I1,Premium
443,638,0.3,H,VS2,Premium
444,6817,1.01,E,VS2,Premium
445,512,0.3,H,VS2,Ideal
446,4761,1.11,G,SI2,Premium
447,796,0.34,G,VS2,Ideal
448,6688,1.26,E,SI2,Ideal
449,3486,1.01,E,I1,Good
450,3226,1.18,E,I1,Very Good
451,1743,0.53,E,VS2,Ideal
452,3524,0.9,E,SI1,Good
453,6361,2.02,G,I1,Fair
454,491,0.3,H,VS2,Very Good
455,1896,0.52,D,VS2,Ideal
456,3943,0.71,E,VS2,Ideal
457,9086,1.23,F,VS1,Ideal
458,612,0.31,G,SI1,Premium
459,874,0.4,F,VS2,Premium
460,1045,0.38,E,VS1,Ideal
461,13608,1.51,E,VS2,Ideal
462,945,0.33,G,VVS1,Ideal
463,11570,1.51,F,SI1,Ideal
464,429,0.32,J,VS2,Ideal
465,453,0.26,H,VS2,Ideal
466,2996,0.74,I,VVS2,Ideal
467,550,0.33,F,SI1,Ideal
468,546,0.31,E,SI1,Good
469,6544,1.17,H,VS2,Ideal
470,466,0.24,G,VVS2,Very Good
471,3811,1.08,I,SI2,Premium
472,2880,0.72,G,SI1,Ideal
473,4299,0.91,H,VVS1,Fair
474,538,0.33,I,VS1,Premium
475,6523,1.51,H,SI2,Premium
476,7892,1.56,I,SI1,Very Good
477,10957,1.59,I,VS2,Premium
478,1324,0.46,D,VS2,Very Good
479,2382,0.77,I,VVS2,Fair
480,8726,1.72,J,SI1,Ideal
481,1919,0.54,F,VS1,Ideal
482,1069,0.35,G,VVS1,Ideal
483,2450,0.62,F,VS1,Ideal
484,1712,0.7,J,VS1,Ideal
485,702,0.31,E,VS2,Premium
486,904,0.4,G,SI1,Very Good
487,2928,0.73,E,SI1,Ideal
488,7952,1.54,J,SI1,Premium
489,3594,0.9,I,VS2,Very Good
490,693,0.4,I,VS2,Ideal
491,5810,1.01,E,SI1,Premium
492,709,0.33,G,VS1,Very Good
493,7205,1.19,E,VS2,Good
494,992,0.42,E,SI1,Premium
495,2811,0.93,J,SI2,Premium
496,6888,1.01,F,VS1,Good
497,551,0.32,D,SI1,Very Good
498,529,0.3,I,SI1,Very Good
499,1172,0.41,G,VVS2,Ideal
500,4853,1.2,I,SI2,Premium
501,1822,0.71,G,SI2,Good
502,4072,0.58,D,VVS1,Ideal
503,502,0.27,I,VVS2,Ideal
504,1144,0.36,E,VS1,Ideal
505,14171,1.51,F,SI1,Good
506,4157,0.9,H,VS1,Very Good
507,3086,0.82,I,SI1,Ideal
508,10891,1.5,I,VVS2,Premium
509,3128,0.93,G,SI2,Ideal
510,632,0.33,G,SI1,Premium
511,729,0.31,G,VS2,Ideal
512,4243,1.01,H,SI2,Premium
513,599,0.31,D,SI1,Ideal
514,821,0.41,E,SI2,Premium
515,422,0.23,F,VS2,Very Good
516,9032,1.03,D,VS1,Ideal
517,1274,0.55,E,SI2,Ideal
518,5007,0.9,G,VS1,Very Good
519,510,0.3,H,VS1,Very Good
520,1119,0.32,G,VVS1,Ideal
521,2102,0.59,F,VS1,Very Good
522,10306,1.34,G,VS1,Ideal
523,7142,1.01,F,VS2,Premium
524,833,0.27,F,VVS2,Ideal
525,12691,1.51,D,VS2,Very Good
526,3458,0.92,J,VS1,Ideal
527,6314,1.34,D,I1,Ideal
528,7579,1.47,G,SI2,Premium
529,15313,2.41,H,SI2,Premium
530,690,0.4,E,SI1,Good
531,3867,0.93,I,SI1,Ideal
532,726,0.38,I,VS1,Ideal
533,780,0.33,G,VVS2,Ideal
534,1162,0.38,E,VS2,Premium
535,4369,1.05,H,SI1,Ideal
536,1814,0.58,D,VS2,Very Good
537,1843,0.51,G,VS1,Ideal
538,825,0.39,J,VS1,Premium
539,922,0.31,D,VS2,Ideal
540,8695,1.5,J,VS1,Good
541,2943,0.7,E,VS1,Very Good
542,2180,0.71,I,VS1,Fair
543,1058,0.34,G,VVS1,Ideal
544,1139,0.5,H,SI1,Premium
545,1772,0.7,H,SI1,Good
546,545,0.38,J,SI1,Ideal
547,6172,1.14,H,VS2,Premium
548,1646,0.59,H,VS2,Premium
549,1816,0.7,G,SI2,Premium
550,3247,0.91,J,VS2,Very Good
551,705,0.43,G,SI1,Good
552,713,0.4,E,SI1,Very Good
553,12506,1.02,D,VVS2,Ideal
554,1386,0.4,F,VVS1,Ideal
555,11509,1.26,G,VVS2,Ideal
556,15889,1.59,E,VS2,Premium
557,1115,0.32,D,VVS2,Ideal
558,984,0.4,F,VS1,Very Good
559,1269,0.53,G,SI1,Premium
560,586,0.31,G,VS2,Very Good
561,1780,0.63,D,SI1,Ideal
562,946,0.3,D,VS2,Premium
563,820,0.33,D,VS2,Very Good
564,734,0.3,D,VS2,Very Good
565,2897,0.52,E,VVS2,Ideal
566,750,0.38,J,VS2,Premium
567,1240,0.42,H,VS2,Very Good
568,7812,1.01,E,VS1,Good
569,773,0.32,E,VVS2,Very Good
570,1414,0.5,E,SI1,Ideal
571,3533,0.81,H,VS1,Very Good
572,1378,0.55,F,SI1,Ideal
573,3411,1.05,J,SI2,Very Good
574,799,0.34,I,VVS2,Very Good
575,620,0.32,H,SI1,Premium
576,9081,2.28,J,SI2,Good
577,2858,0.57,E,VVS2,Ideal
578,681,0.45,E,SI2,Good
579,2563,0.71,E,SI1,Premium
580,16766,2.38,J,VS2,Very Good
581,6450,1,F,VS2,Very Good
582,538,0.3,D,VS2,Good
583,766,0.3,E,VVS2,Very Good
584,2434,0.7,F,VS2,Very Good
585,1119,0.41,E,VS1,Ideal
586,919,0.4,F,SI1,Ideal
587,1377,0.51,E,SI1,Very Good
588,944,0.33,G,VVS1,Premium
589,605,0.37,H,VS2,Good
590,1790,0.52,G,VS1,Ideal
591,5732,1.22,H,SI2,Ideal
592,5506,1,D,SI1,Premium
593,1216,0.33,G,VVS1,Premium
594,4603,1,D,SI1,Ideal
595,9059,1.05,G,VVS2,Premium
596,582,0.26,D,VVS2,Good
597,1814,0.7,H,SI1,Fair
598,1007,0.44,E,SI1,Very Good
599,875,0.37,E,SI1,Ideal
600,3822,0.72,H,VVS2,Ideal
601,491,0.31,J,VVS2,Ideal
602,2678,0.7,E,SI1,Premium
603,8821,1.5,E,SI1,Good
604,6313,1.15,F,SI1,Very Good
605,1998,0.54,D,VS1,Good
606,1041,0.3,E,VVS1,Ideal
607,7263,1.33,I,VS1,Good
608,5939,1.29,H,SI2,Premium
609,4490,0.92,E,SI1,Premium
610,6537,2,J,I1,Good
611,5072,1.2,J,SI1,Ideal
612,1493,0.51,E,SI1,Very Good
613,2724,0.7,I,VVS1,Ideal
614,692,0.33,F,VS2,Ideal
615,12632,2.18,H,SI2,Premium
616,722,0.31,E,SI1,Premium
617,1118,0.43,F,VS2,Ideal
618,2655,0.72,D,SI2,Ideal
619,815,0.36,E,VS2,Ideal
