Diamond,Price,Carat,Color,Clarity,Cut
620,4666,1.2,J,SI1,Very Good
621,4431,0.64,D,VVS1,Ideal
622,4975,0.9,D,VS2,Very Good
623,3811,0.9,F,SI2,Very Good
624,2971,0.7,G,VS1,Ideal
625,669,0.32,F,VS2,Premium
626,3167,0.66,G,VVS1,Ideal
627,741,0.3,D,SI1,Good
628,884,0.4,E,SI1,Good
629,1082,0.55,J,VS2,Good
630,1002,0.34,E,VS2,Ideal
631,406,0.3,J,VS1,Ideal
632,719,0.4,J,VVS2,Ideal
633,14329,1.05,F,VVS1,Ideal
634,449,0.34,I,SI1,Premium
635,11027,1.5,H,VS2,Good
636,3320,0.78,F,VS1,Good
637,1757,0.52,H,VVS1,Ideal
638,4148,0.91,E,SI1,Ideal
639,629,0.3,E,VS2,Ideal
640,4858,1,F,SI1,Good
641,8760,1.03,F,VVS2,Very Good
642,12807,1.01,D,VVS1,Ideal
643,7517,1.41,D,SI2,Good
644,5649,1.02,H,VS2,Premium
645,909,0.3,G,VVS2,Good
646,705,0.3,H,VVS1,Good
647,857,0.35,E,VS1,Premium
648,4625,0.91,E,SI1,Premium
649,433,0.32,J,VS2,Ideal
650,1072,0.36,H,VVS1,Ideal
651,2921,0.7,F,VVS2,Ideal
652,489,0.29,H,VVS2,Very Good
653,13940,1.13,D,VVS2,Ideal
654,1366,0.4,F,VVS1,Ideal
655,945,0.31,E,VVS2,Ideal
656,11327,1.55,E,SI1,Very Good
657,12640,2.01,J,SI1,Very Good
658,1031,0.33,G,VVS1,Ideal
659,8797,1.5,J,VVS2,Very Good
660,724,0.33,H,VVS2,Ideal
661,1181,0.52,J,VS2,Very Good
662,1720,0.61,G,VS2,Good
663,2382,0.75,E,SI2,Premium
664,1095,0.4,E,VS1,Premium
665,4610,0.84,D,VS1,Very Good
666,686,0.3,E,VS2,Ideal
667,7051,1.03,F,VS2,Ideal
668,9021,1.08,G,VVS1,Ideal
669,2553,0.8,H,SI1,Ideal
670,3628,0.74,D,VS2,Ideal
671,1288,0.56,D,SI2,Ideal
672,6590,1.01,D,SI1,Ideal
673,1198,0.41,I,VVS1,Premium
674,7285,1.73,I,SI2,Premium
675,3655,0.91,E,SI2,Very Good
676,2404,0.7,D,SI1,Good
677,7783,1.52,J,VS2,Very Good
678,13811,2.1,H,SI2,Very Good
679,18538,2.02,F,SI2,Premium
680,1113,0.41,G,VS2,Premium
681,4081,1,D,SI2,Good
682,1426,0.54,H,VS1,Good
683,7184,1.5,E,SI2,Premium
684,4992,1,I,VS2,Ideal
685,4209,1.04,H,SI2,Good
686,4684,1.03,G,SI1,Good
687,811,0.32,F,VVS2,Very Good
688,6955,1.07,G,VS1,Premium
689,6354,0.99,F,VS2,Very Good
690,1108,0.43,D,VS2,Premium
691,1096,0.43,E,VS2,Ideal
692,18937,2.08,E,SI2,Ideal
693,670,0.32,G,VS1,Ideal
694,743,0.4,D,SI1,Ideal
695,13274,1.33,G,VVS1,Ideal
696,5382,1.1,F,VS2,Very Good
697,937,0.32,F,VVS1,Ideal
698,1171,0.51,H,VS2,Good
699,14250,1.22,F,VVS1,Ideal
700,5151,1.01,E,SI1,Premium
701,1799,0.5,E,VS2,Premium
702,1486,0.5,G,VS1,Good
703,1349,0.52,E,SI1,Very Good
704,1495,0.45,G,VVS1,Ideal
705,3893,1.01,I,SI1,Very Good
706,1966,0.51,D,VS1,Premium
707,2551,0.77,G,SI2,Good
708,1913,0.57,G,VS1,Ideal
709,5601,1.01,E,SI1,Ideal
710,15501,1.5,F,VS1,Very Good
711,1177,0.57,F,SI2,Premium
712,5179,1.16,F,SI2,Premium
713,3223,0.7,E,VS1,Very Good
714,2703,0.81,I,SI1,Very Good
715,2340,1.05,I,I1,Premium
716,979,0.4,F,SI1,Premium
717,7301,1,F,VS1,Premium
718,3590,0.73,D,VS2,Ideal
719,4702,0.93,D,SI2,Premium
720,4664,1.12,I,SI1,Premium
721,1697,0.71,G,SI2,Fair
722,975,0.31,G,VVS1,Ideal
723,7312,1.75,H,I1,Ideal
724,2869,0.97,F,I1,Ideal
725,2698,0.72,F,VS2,Ideal
726,584,0.35,F,SI1,Premium
727,740,0.32,D,VS1,Ideal
728,5738,1,E,SI1,Ideal
729,2947,0.7,F,VS1,Good
730,1119,0.46,E,VS2,Fair
731,5533,1.02,H,VS2,Premium
732,11545,1.23,F,VVS2,Ideal
733,6685,1.22,H,SI1,Premium
734,995,0.41,E,VS1,Ideal
735,601,0.33,G,VS2,Very Good
736,12574,1.64,F,SI1,Very Good
737,6468,1.23,H,SI2,Ideal
738,2385,0.69,G,SI1,Ideal
739,6400,1,F,VS2,Very Good
740,4481,0.83,E,VS2,Ideal
741,4574,1.07,F,SI2,Very Good
742,2109,0.5,D,VS1,Ideal
743,2514,0.71,E,SI2,Ideal
744,4365,0.8,D,VS2,Ideal
745,2941,0.7,D,SI1,Ideal
746,1345,0.61,I,VS2,Good
747,918,0.4,D,VS2,Ideal
748,12231,1.8,F,SI2,Good
749,3203,0.63,D,VVS2,Ideal
750,18445,2.01,E,SI2,Ideal
751,7265,1.01,D,VS2,Good
752,4476,0.81,E,VS2,Ideal
753,1342,0.41,G,VVS1,Premium
754,3057,0.81,I,VS2,Ideal
755,705,0.41,D,SI2,Ideal
756,4916,1.07,G,SI2,Ideal
757,2455,0.71,I,VS2,Premium
758,1703,0.54,D,VS2,Good
759,812,0.36,E,SI1,Very Good
760,6493,1.34,G,SI2,Very Good
761,7246,1.02,H,VVS2,Ideal
762,619,0.31,F,SI1,Good
763,8334,1.2,G,VS2,Very Good
764,3752,1,E,SI2,Good
765,6127,0.9,G,VVS1,Very Good
766,561,0.3,G,VS2,Very Good
767,9776,1.03,G,VVS1,Ideal
768,8099,1.61,J,VS2,Premium
769,650,0.31,F,VS2,Ideal
770,646,0.32,D,SI1,Very Good
771,3334,0.98,G,SI2,Fair
772,2280,1,F,I1,Fair
773,928,0.4,E,VS1,Ideal
774,669,0.4,H,SI1,Good
775,9436,1.01,F,VVS1,Good
776,1189,0.39,F,VVS1,Ideal
777,909,0.4,G,VS1,Premium
778,19235,2.26,H,SI1,Premium
779,1213,0.53,I,VS2,Ideal
780,18538,2.72,J,SI2,Ideal
781,1922,0.51,E,VS1,Very Good
782,3470,1.02,G,I1,Ideal
783,7887,1.21,H,VS2,Ideal
784,1393,0.41,G,VVS1,Ideal
785,4517,1.02,H,SI2,Good
786,18167,2.01,G,SI1,Very Good
787,792,0.35,E,VS2,Premium
788,3215,1,J,SI2,Fair
789,665,0.3,H,VVS2,Ideal
790,817,0.35,H,VS1,Premium
791,3035,0.81,F,SI1,Premium
792,14254,1.61,D,SI1,Premium
793,4213,1.07,G,SI2,Very Good
794,1444,0.46,D,VS2,Ideal
795,3068,0.9,J,VS1,Fair
796,4097,1,E,SI2,Fair
797,5166,1.02,H,SI1,Ideal
798,1055,0.4,G,VS1,Very Good
799,4290,1.24,E,SI2,Premium
800,833,0.38,F,VS2,Very Good
801,6153,1,D,SI1,Premium
802,6830,1.03,G,VS1,Very Good
803,5222,1.01,D,SI1,Good
804,3805,1.11,G,SI2,Premium
805,2191,0.7,F,SI2,Premium
806,3974,0.91,D,SI1,Good
807,1876,0.52,E,VS2,Premium
808,15934,1.55,E,VS2,Ideal
809,2059,0.51,D,VS2,Premium
810,3780,0.92,F,SI2,Very Good
811,13971,1.9,G,SI2,Premium
812,3144,0.81,I,SI1,Ideal
813,14291,1.5,E,VS2,Very Good
814,3928,1.02,I,SI1,Very Good
815,10058,1.22,G,VVS2,Very Good
816,1961,0.54,H,VVS2,Good
817,975,0.3,E,VVS1,Ideal
818,594,0.23,D,VS2,Very Good
819,5370,1.34,G,SI2,Ideal
820,7243,1.11,E,SI1,Ideal
821,1155,0.33,E,VVS1,Ideal
822,727,0.32,E,VS2,Ideal
823,2063,0.52,G,VVS1,Ideal
824,10715,1.51,F,SI1,Ideal
825,9305,1.27,G,VS2,Ideal
826,6261,1.21,D,SI2,Very Good
827,10994,1.51,E,SI2,Ideal
828,5081,1.01,H,SI1,Ideal
829,13195,1.51,D,SI1,Ideal
830,7483,1.02,F,VS2,Ideal
831,5340,1.2,J,SI1,Very Good
832,12772,2.01,H,SI2,Ideal
833,3196,0.8,F,SI1,Very Good
834,6066,1.07,E,SI2,Ideal
835,10753,1.56,H,SI1,Ideal
836,7742,1.2,I,VVS1,Very Good
837,7551,1.01,G,VVS2,Good
838,447,0.3,D,SI2,Good
839,1208,0.44,E,VS1,Very Good
840,680,0.32,I,VS1,Premium
841,1252,0.54,E,SI2,Premium
842,2199,0.7,F,SI1,Premium
843,827,0.31,G,VS1,Premium
844,5958,1.11,H,SI1,Ideal
845,786,0.41,G,SI2,Premium
846,486,0.24,H,VVS1,Very Good
847,860,0.35,F,VVS2,Ideal
848,3705,0.75,F,VVS2,Very Good
849,5092,1.01,G,SI1,Very Good
850,3749,1.01,H,SI2,Premium
851,3530,0.9,F,SI2,Very Good
852,646,0.35,D,SI1,Ideal
853,13934,2.06,G,SI2,Premium
854,4328,0.91,I,VS2,Ideal
855,13293,1.39,F,VS2,Ideal
856,1188,0.58,J,VS2,Very Good
857,846,0.4,H,VS1,Very Good
858,1902,0.61,G,VS2,Good
859,3117,0.71,E,VS1,Very Good
860,856,0.41,G,VS2,Premium
861,1641,0.51,F,VS2,Premium
862,615,0.35,E,SI1,Ideal
863,1744,0.51,G,VS1,Ideal
864,9831,1.12,G,VVS1,Good
865,1443,0.39,E,VVS1,Ideal
866,5885,1.01,F,SI1,Ideal
867,1162,0.43,G,VS2,Premium
868,2617,0.7,G,VS1,Premium
869,7164,1.06,G,VS1,Premium
870,6824,1.15,G,VS1,Fair
871,2628,0.74,E,SI2,Ideal
872,8879,1.31,H,VS1,Ideal
873,2930,0.7,F,VS1,Very Good
874,1689,0.52,E,SI1,Premium
875,2896,0.7,E,VS2,Ideal
876,550,0.26,D,VVS1,Good
877,1202,0.31,E,VVS1,Ideal
878,371,0.24,I,VS1,Premium
879,6697,1.2,H,VS2,Good
880,4721,1.07,F,SI2,Premium
881,4479,0.79,I,VVS2,Ideal
882,3802,1,J,VS2,Premium
883,7844,1.07,F,VS2,Ideal
884,1567,0.5,D,SI1,Ideal
885,6498,1.04,G,VS2,Premium
886,907,0.3,E,VVS1,Ideal
887,4738,1.06,E,SI2,Premium
888,794,0.34,E,SI1,Premium
889,594,0.31,D,SI2,Very Good
890,3302,0.86,G,SI1,Very Good
891,1715,0.52,E,VS2,Very Good
892,885,0.3,F,VVS1,Ideal
893,840,0.4,G,VS2,Very Good
894,11732,1.7,I,VS2,Premium
895,2247,0.71,I,SI1,Ideal
896,16594,2.5,J,SI2,Ideal
897,1373,0.43,G,VVS1,Premium
898,1696,0.51,H,VS1,Very Good
899,4822,1.04,D,SI2,Premium
900,2684,0.7,D,SI1,Very Good
901,924,0.32,F,VVS1,Very Good
902,1125,0.41,E,VS1,Premium
903,9750,1.13,G,VVS1,Premium
904,2117,0.75,G,SI2,Good
905,962,0.3,H,VVS1,Premium
906,515,0.31,F,VS2,Very Good
907,1413,0.44,G,VVS1,Ideal
908,3253,0.72,H,VVS1,Ideal
909,4292,1.11,F,SI2,Premium
910,950,0.43,E,SI2,Ideal
911,15815,2.03,I,SI1,Very Good
912,1715,0.53,E,VS2,Ideal
913,790,0.35,E,SI1,Premium
914,10561,1.57,E,SI2,Ideal
915,424,0.3,G,SI2,Ideal
916,1687,0.58,G,VS2,Ideal
917,934,0.3,F,VVS1,Ideal
918,5531,1.2,I,SI1,Good
919,6040,1,G,VS2,Premium
920,1438,0.56,H,VS2,Ideal
921,6567,1.01,G,VS1,Good
922,6969,1.12,H,SI1,Ideal
923,9972,1.5,D,SI2,Very Good
924,4876,0.9,G,VVS2,Good
925,2127,0.7,G,SI1,Very Good
926,6153,1,F,VS2,Good
927,9164,1.51,G,VS2,Fair
928,17824,1.61,G,VS1,Ideal
929,808,0.42,I,VS1,Very Good
930,7588,1.56,H,SI2,Very Good
931,647,0.36,D,SI1,Ideal
932,702,0.3,G,VS2,Ideal
933,3480,0.71,D,VS2,Ideal
934,1637,0.58,F,SI1,Ideal
935,3176,0.73,E,VS2,Ideal
936,3938,1,H,SI2,Premium
937,1911,0.62,G,VS2,Premium
938,2175,0.7,D,SI2,Fair
939,924,0.41,G,SI1,Premium
940,16050,1.66,H,VVS1,Ideal
941,13706,1.62,F,SI1,Premium
942,665,0.38,H,SI1,Very Good
943,16788,2.01,H,SI1,Premium
944,1260,0.53,G,SI1,Ideal
945,3251,0.81,H,VS1,Premium
946,1011,0.41,E,SI1,Premium
947,962,0.32,E,VVS2,Ideal
948,623,0.26,F,VVS2,Very Good
949,733,0.39,H,VS2,Ideal
950,6681,1,F,VS1,Good
951,1281,0.5,D,SI2,Premium
952,4260,0.9,E,SI1,Premium
953,448,0.31,H,SI1,Very Good
954,8750,2.16,H,I1,Ideal
955,1420,0.53,F,SI1,Very Good
956,589,0.32,G,VS2,Ideal
957,992,0.4,D,SI1,Ideal
958,2895,0.82,G,SI2,Very Good
959,2793,0.76,I,VS1,Ideal
960,858,0.36,G,VVS2,Ideal
961,615,0.34,G,VS2,Ideal
962,1101,0.34,G,VVS1,Premium
963,708,0.3,F,VVS1,Good
964,812,0.42,D,SI1,Very Good
965,910,0.3,F,VVS1,Very Good
966,2754,0.71,E,SI1,Premium
967,4700,1.02,I,VS1,Good
968,1947,0.53,D,VS2,Ideal
969,3063,1.01,I,SI2,Fair
970,1055,0.39,G,VS2,Premium
971,631,0.3,G,VS1,Very Good
972,628,0.34,D,SI1,Very Good
973,1062,0.31,D,VVS2,Ideal
974,17912,2,G,SI1,Good
975,2100,0.61,E,VS2,Very Good
976,13360,1.51,G,VS1,Fair
977,4588,1.07,G,SI2,Premium
978,5185,1,D,SI1,Good
979,2692,0.76,D,SI2,Ideal
980,1320,0.56,H,SI1,Ideal
981,13517,1.72,F,SI1,Good
982,6755,1.51,I,VS2,Ideal
983,4565,1.11,I,SI2,Ideal
984,2710,0.71,E,VS2,Very Good
985,1497,0.51,H,SI2,Ideal
986,14690,1.5,F,VS2,Ideal
987,10969,1.51,G,SI1,Premium
988,3194,0.75,E,SI1,Ideal
989,6364,1.4,J,SI1,Ideal
990,637,0.3,F,VS1,Ideal
991,1373,0.38,F,VVS1,Premium
992,506,0.28,E,VS1,Very Good
993,9941,1.51,E,SI1,Premium
994,4984,1.04,H,SI1,Premium
995,739,0.32,F,VS1,Ideal
996,1621,0.5,F,VS2,Good
997,644,0.3,E,VS2,Good
998,3846,0.9,F,SI1,Premium
999,1760,0.42,D,VVS1,Ideal
1000,1107,0.3,E,VVS2,Ideal
1001,14145,1.79,G,SI1,Premium
1002,2575,0.74,E,SI2,Very Good
1003,5498,1.25,I,SI2,Ideal
1004,2218,0.7,G,SI1,Very Good
1005,1650,0.52,E,VS2,Ideal
1006,831,0.3,E,VVS2,Ideal
1007,2487,0.79,G,SI2,Very Good
1008,599,0.33,E,SI1,Good
1009,729,0.32,D,SI1,Good
1010,4380,1.02,G,SI2,Premium
1011,5162,1.01,H,SI1,Premium
1012,7841,1.21,F,SI1,Ideal
1013,18677,2.04,I,VS1,Very Good
1014,6204,1.09,H,VS2,Premium
1015,3839,0.91,J,VS1,Very Good
1016,3454,0.9,G,SI2,Very Good
1017,4941,1.1,F,SI2,Premium
1018,2600,0.75,H,VS1,Very Good
1019,667,0.31,D,VS2,Ideal
1020,4388,0.9,F,VS2,Good
1021,6306,1.25,H,SI1,Very Good
1022,1086,0.37,E,VS2,Ideal
1023,2603,0.7,F,SI1,Premium
1024,588,0.32,I,VVS2,Premium
1025,1341,0.4,I,VVS2,Ideal
1026,2720,0.72,H,VS1,Very Good
1027,1934,0.54,E,VS2,Ideal
1028,7066,1.1,E,SI1,Ideal
1029,1116,0.35,H,VVS1,Premium
1030,1114,0.41,E,VS1,Ideal
1031,1365,0.43,F,VVS2,Ideal
1032,7439,1,F,VS2,Premium
1033,7060,1.13,G,VS2,Premium
1034,543,0.3,H,SI1,Premium
1035,709,0.34,G,VS1,Ideal
1036,7992,1.26,H,VS1,Ideal
1037,10726,1.72,G,SI2,Very Good
1038,2693,0.71,G,VS2,Very Good
1039,1111,0.52,H,SI2,Ideal
1040,9677,1.04,D,VVS2,Very Good
1041,647,0.33,H,VS2,Premium
1042,1799,0.56,D,SI1,Premium
1043,680,0.3,E,VS2,Ideal
1044,4088,0.9,D,SI2,Ideal
1045,2435,0.7,I,VS2,Ideal
1046,4931,1.15,I,SI1,Ideal
1047,688,0.39,F,SI1,Very Good
1048,911,0.37,D,SI1,Premium
1049,1046,0.33,D,VS2,Premium
1050,1335,0.65,H,SI2,Very Good
1051,6767,1.5,J,SI1,Ideal
1052,4724,0.9,D,SI1,Very Good
1053,1003,0.38,H,VVS1,Very Good
1054,489,0.27,E,VS1,Ideal
1055,2188,0.7,H,SI1,Very Good
1056,3327,0.8,D,SI1,Premium
1057,5610,1.14,H,SI1,Ideal
1058,4219,0.91,F,SI1,Premium
1059,757,0.44,I,VS2,Ideal
1060,766,0.33,F,VS1,Ideal
1061,2478,0.7,F,VS2,Very Good
1062,3537,0.9,D,SI2,Very Good
1063,1129,0.39,G,VS1,Ideal
1064,9079,2.16,F,I1,Ideal
1065,786,0.32,D,SI1,Good
1066,2131,0.76,J,VS1,Very Good
1067,9396,1.2,F,VS2,Good
1068,5032,1.25,H,SI1,Premium
1069,5085,1.07,H,SI2,Ideal
1070,2003,0.7,H,SI1,Fair
1071,5142,1.07,H,SI1,Ideal
1072,768,0.33,G,VS2,Premium
1073,2892,0.7,F,VS1,Good
1074,2194,0.51,G,VVS1,Ideal
1075,7732,1.29,F,SI1,Premium
1076,2316,0.7,G,VS1,Very Good
1077,395,0.3,G,SI2,Very Good
1078,1136,0.54,G,SI2,Ideal
1079,800,0.34,G,VS2,Premium
1080,5176,1.01,F,SI1,Premium
1081,5543,1.22,I,SI1,Premium
1082,5820,1.21,G,SI1,Premium
1083,2566,0.73,I,VS2,Ideal
1084,1335,0.41,G,VVS1,Ideal
1085,14599,1.63,E,SI1,Ideal
1086,6360,1.02,D,SI1,Ideal
1087,3360,1.05,H,SI2,Premium
1088,2287,0.77,F,SI2,Premium
1089,5831,1.01,G,VS2,Good
1090,12018,1.34,H,VVS1,Ideal
1091,3762,0.55,D,VVS2,Ideal
1092,918,0.38,F,VS1,Very Good
1093,966,0.54,J,SI1,Ideal
1094,8310,1.53,I,SI2,Ideal
1095,12370,2.04,H,SI1,Premium
1096,946,0.3,G,VVS1,Ideal
1097,843,0.38,I,VS2,Premium
1098,936,0.35,F,VS2,Premium
1099,562,0.31,H,VS1,Very Good
1100,3913,1.01,F,SI2,Premium
1101,914,0.32,F,VVS2,Ideal
1102,11128,2.2,H,SI2,Very Good
1103,2892,0.72,F,VS1,Ideal
1104,848,0.31,H,VVS1,Ideal
1105,4518,1.08,H,SI2,Ideal
1106,14279,2,G,SI2,Fair
1107,3760,0.74,F,VS1,Ideal
1108,1822,0.55,E,VS2,Ideal
1109,16710,1.27,F,VVS1,Ideal
1110,903,0.31,E,VS2,Ideal
1111,1108,0.33,F,VVS1,Ideal
1112,18096,2.26,D,SI2,Very Good
1113,10094,1.22,D,VS2,Premium
1114,2058,0.7,J,VVS2,Very Good
1115,6281,1.54,E,I1,Good
1116,593,0.33,I,SI1,Good
1117,4113,1.05,H,SI2,Very Good
1118,1661,0.5,E,VS2,Premium
1119,489,0.37,F,SI2,Very Good
1120,4507,1.1,H,SI2,Premium
1121,4216,0.91,H,VS2,Ideal
1122,412,0.23,G,VVS1,Good
1123,824,0.31,G,VVS1,Ideal
1124,2446,0.73,F,SI1,Premium
1125,11500,1.51,G,SI1,Ideal
1126,659,0.36,E,SI1,Good
1127,6564,1.22,G,SI1,Ideal
1128,2471,0.7,H,VS1,Premium
1129,10029,1.76,F,SI2,Ideal
1130,12023,1.7,I,VVS2,Premium
1131,5153,1.19,J,VS1,Good
1132,13676,1.53,G,VS1,Very Good
1133,8619,1.16,G,VVS2,Very Good
1134,6395,1.2,E,SI1,Very Good
1135,2486,0.71,I,VVS2,Very Good
1136,514,0.34,I,VS2,Ideal
1137,6106,1.29,J,SI1,Ideal
1138,3509,0.7,G,VS1,Ideal
1139,1474,0.46,G,VVS1,Very Good
1140,15240,2.1,G,SI2,Premium
1141,3591,1,I,SI1,Fair
1142,925,0.31,E,VVS1,Ideal
1143,3658,0.78,D,VS2,Very Good
1144,2521,0.71,I,VVS2,Ideal
1145,673,0.35,D,SI1,Very Good
1146,745,0.43,I,VS2,Ideal
1147,1499,0.41,E,VVS2,Ideal
1148,1274,0.56,J,VS2,Ideal
1149,9296,1.08,D,VS1,Premium
1150,4172,1,F,SI2,Ideal
1151,643,0.27,D,VVS2,Very Good
1152,6389,1.53,J,SI2,Good
1153,4877,0.9,E,VS2,Very Good
1154,3238,0.72,F,VS1,Ideal
1155,12464,2.01,J,SI2,Premium
1156,600,0.33,G,VS2,Ideal
1157,1067,0.34,G,VVS1,Ideal
1158,11485,1.69,I,VS2,Ideal
1159,3900,1.01,F,SI2,Good
1160,1100,0.5,E,SI2,Very Good
1161,5111,1.06,H,SI1,Premium
1162,1178,0.33,E,VVS1,Ideal
1163,5662,1.01,G,VS2,Ideal
1164,7925,1.21,H,VS2,Premium
1165,5533,1.02,F,SI1,Premium
1166,4519,0.9,G,SI1,Very Good
1167,3799,0.95,J,VVS2,Premium
1168,868,0.32,G,VVS1,Ideal
1169,16933,1.53,G,VS1,Ideal
1170,910,0.34,F,VS2,Ideal
1171,6100,1.33,H,SI2,Very Good
1172,1163,0.4,J,VVS1,Premium
1173,5614,1.13,G,SI1,Premium
1174,841,0.26,E,VVS2,Ideal
1175,5574,1.05,F,SI1,Ideal
1176,1243,0.41,G,VVS1,Very Good
1177,855,0.4,D,SI2,Premium
1178,1963,0.51,G,VVS2,Very Good
1179,442,0.28,G,VS2,Very Good
1180,13375,1.79,I,VS1,Premium
1181,1045,0.24,F,VVS1,Ideal
1182,3553,1,G,SI2,Good
1183,5926,1.22,D,SI1,Premium
1184,680,0.39,I,VS2,Ideal
1185,6975,0.91,D,VS1,Ideal
1186,4515,1.28,G,I1,Ideal
1187,2394,0.83,G,SI2,Fair
1188,760,0.32,D,SI1,Good
1189,3393,0.52,E,VVS1,Ideal
1190,5045,1.2,J,SI1,Premium
1191,657,0.3,H,VVS1,Very Good
1192,2844,0.72,F,VS2,Premium
1193,3670,0.72,G,VVS2,Ideal
1194,15266,1.51,G,VS1,Ideal
1195,941,0.3,G,VVS1,Ideal
1196,9096,1.1,F,VS1,Ideal
1197,4018,0.9,F,SI1,Very Good
1198,2880,0.61,D,VVS2,Very Good
1199,865,0.32,F,VS2,Premium
1200,4245,1.01,I,SI1,Premium
1201,1429,0.6,F,SI1,Fair
1202,1229,0.53,D,SI2,Very Good
1203,673,0.42,H,SI1,Very Good
1204,859,0.35,D,VS2,Premium
1205,465,0.26,H,VS1,Ideal
1206,4671,0.9,G,SI1,Premium
1207,2232,0.5,E,VVS2,Very Good
1208,692,0.42,J,VS1,Ideal
1209,573,0.3,G,VS2,Ideal
1210,1316,0.38,F,VVS1,Very Good
1211,5825,1.21,J,VS1,Premium
1212,1990,0.53,H,VVS1,Ideal
1213,4114,1,G,SI2,Premium
1214,2405,0.57,G,VVS1,Ideal
1215,8727,1.52,J,VS1,Premium
1216,3159,0.83,E,SI2,Ideal
1217,2063,0.51,G,VVS2,Premium
1218,16516,2.12,H,SI2,Ideal
1219,976,0.4,E,SI1,Premium
1220,3507,0.78,F,SI1,Ideal
1221,6272,1.12,I,VS1,Ideal
1222,3553,0.9,H,SI1,Very Good
1223,508,0.3,I,SI1,Very Good
1224,3272,0.73,F,VVS2,Good
1225,3613,0.96,H,SI2,Good