Country,LifeExpectancy,DoctorsPer100K
 Afghanistan ,60.5,2.7
 Albania ,77.8,11.5
 Algeria ,75.6,12.1
 Angola ,52.4,1.7
 Argentina ,76.3,38.6
 Armenia ,74.8,27
 Australia ,82.8,32.7
 Austria ,81.5,48.3
 Azerbaijan ,72.7,34
 Bahamas ,76.1,28.2
 Bahrain ,76.9,9.2
 Bangladesh ,71.8,3.6
 Belarus ,72.3,39.3
 Belgium ,81.1,29.9
 Belize ,70.1,8.3
 Benin ,60,0.6
 Bhutan ,69.8,2.6
 Bolivia ,70.7,4.7
 Bosnia and Herzegovina ,77.4,19.3
 Botswana ,65.7,4
 Brazil ,75,18.9
 Brunei ,77.7,14.4
 Bulgaria ,74.5,38.7
 Burkina Faso ,59.9,0.5
 Burundi ,59.6,0.5
 Cambodia ,68.7,1.7
 Cameroon ,57.3,0.8
 Canada ,82.2,20.7
 Cape Verde ,73.3,3.1
 Central African Republic ,52.5,0.5
 Chad ,53.1,0.5
 Chile ,80.5,10.2
 China ,76.1,14.9
 Colombia ,74.8,14.7
 Comoros ,63.5,2
 Costa Rica ,79.6,11.1
 Croatia ,78,28.4
 Cyprus ,80.5,23.3
 Czech Republic ,78.8,36.2
 Denmark ,80.6,34.9
 Djibouti ,63.5,2
 Dominican Republic ,73.9,14.9
 DR Congo ,59.8,1
 Ecuador ,76.2,17.2
 Egypt ,70.9,28.3
 El Salvador ,73.5,16
 Equatorial Guinea ,58.2,3
 Eritrea ,64.7,1
 Estonia ,77.6,32.4
 Ethiopia ,64.8,0.3
 Fiji ,69.9,4.3
 Finland ,81.1,29.1
 France ,82.4,31.9
 Gabon ,66,3
 Gambia ,61.1,1.1
 Georgia ,74.4,42.7
 Germany ,81,38.9
 Ghana ,62.4,1
 Greece ,81,54
 Guatemala ,71.9,9.3
 Guinea ,59,1
 Guinea-Bissau ,58.9,0.7
 Guyana ,66.2,2.1
 Honduras ,74.6,6
 Hungary ,75.9,30.8
 Iceland ,82.7,34.8
 India ,68.3,7
 Indonesia ,69.1,2
 Iran ,75.5,9
 Iraq ,68.9,6.1
 Ireland ,81.4,26.7
 Israel ,82.5,33.4
 Italy ,82.7,37.6
 Ivory Coast ,53.3,1.4
 Jamaica ,76.2,4.1
 Japan ,83.7,23
 Jordan ,74.1,25.6
 Kazakhstan ,70.2,36.2
 Kenya ,63.4,2
 Kiribati ,66.3,3.8
 Kuwait ,74.7,17.9
 Kyrgyzstan ,71.1,19.7
 Laos ,65.7,1.8
 Latvia ,74.6,35.8
 Lebanon ,74.9,32
 Lesotho ,53.7,1
 Liberia ,61.4,0.1
 Libya ,72.7,19
 Lithuania ,73.6,41.2
 Luxembourg ,82,29
 Macedonia ,75.7,26.2
 Madagascar ,65.5,1.6
 Malawi ,58.3,0.2
 Malaysia ,75,12
 Maldives ,78.5,14.2
 Mali ,58.2,0.8
 Malta ,81.7,34.9
 Mauritania ,63.1,1.3
 Mauritius ,74.6,11
 Mexico ,76.7,21
 Micronesia ,69.4,1.8
 Moldova ,72.1,29.8
 Mongolia ,68.8,28.4
 Montenegro ,76.1,21.1
 Morocco ,74.3,6.2
 Mozambique ,57.6,0.4
 Myanmar ,66.6,6.1
 Namibia ,65.8,3.7
 Nepal ,69.2,2
 Netherlands ,81.9,39
 New Zealand ,81.6,27.4
 Nicaragua ,74.8,9
 Niger ,61.8,0.2
 Nigeria ,54.5,4.1
 North Korea ,70.6,33
 Norway ,81.8,42.8
 Oman ,76.6,24.3
 Pakistan ,66.4,8.3
 Panama ,77.8,16.5
 Papua New Guinea ,62.9,0.6
 Paraguay ,74,12.3
 Peru ,75.5,11.3
 Philippines ,68.5,12
 Poland ,77.5,22.2
 Portugal ,81.1,41
 Romania ,75,24.5
 Russia ,70.5,43
 Rwanda ,66.1,0.6
 Saint Lucia ,75.2,1.1
 Saint Vincent and the Grenadines ,73.2,8
 Samoa ,74,4.5
 Sao Tome and Principe ,67.5,5
 Saudi Arabia ,74.5,24.9
 Senegal ,66.7,0.6
 Serbia ,75.6,21.1
 Seychelles ,73.2,10.7
 Sierra Leone ,50.1,0.2
 Singapore ,83.1,19.5
 Slovakia ,76.7,33.2
 Slovenia ,80.8,25.2
 Solomon Islands ,69.2,2.2
 Somalia ,55,0.5
 South Africa ,62.9,7.8
 South Korea ,82.3,21.4
 Spain ,82.8,49.5
 Sri Lanka ,74.9,6.8
 Sudan ,64.1,2.8
 Suriname ,71.6,5
 Swaziland ,58.9,1.7
 Sweden ,82.4,39.3
 Switzerland ,83.4,40.5
 Syria ,64.5,14.6
 Tajikistan ,69.7,19.2
 Tanzania ,61.8,0.3
 Thailand ,74.9,3.9
 Timor-Leste ,68.3,0.7
 Togo ,59.9,0.5
 Tonga ,73.5,5.6
 Trinidad and Tobago ,71.2,11.8
 Tunisia ,75.3,12.2
 Turkey ,75.8,17.1
 Turkmenistan ,66.3,24
 Uganda ,62.3,1
 Ukraine ,71.3,35.4
 United Arab Emirates ,77.1,25.3
 United Kingdom ,81.2,28.1
 United States ,79.3,24.5
 Uruguay ,77,37.4
 Uzbekistan ,69.4,25.3
 Vanuatu ,72,1.2
 Venezuela ,74.1,19
 Vietnam ,76,11.9
 Yemen ,65.7,2
 Zambia ,61.8,1.7
 Zimbabwe ,60.7,0.8